,,,,,,,
,,,,,,,
"Your Company, Inc.",,,,,,,INVOICE
Address,,,,,,,
"City, State, ZIP",,,(555) 555-555,,,,
,,,,,,,
SOLD TO:,,,,,,,
Name,,,,,,INVOICE NUMBER,536524
Address,,,,,,INVOICE DATE,11-Jan-17
"City, State, ZIP",,,,,,OUR ORDER NO.,726278
,,,,,,YOUR ORDER NO.,1892727
,,,,,,TERMS,Net 30
SHIPPED TO:,,,,,,SALES REP,Name
Same,,,,,,SHIPPED VIA,Air
,,,,,,F.O.B.,"City, State"
,,,,,,PREPAID or COLLECT,COLL
,,,,,,,
Sales Tax Rate:,,5.00%,,,,,
,,,,,,,
QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
120,Product,,,,,10,"$1,200.00"
120,Product,,,,,10,"1,200.00"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,SUBTOTAL,"2,400.00"
,,,,,,TAX,120
,,,,,,FREIGHT,
,,,,,,,"$2,520.00"
DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
Name,,,,"Your Company, Inc.",,,AMOUNT
(555) 555-555,,,,Attn: Accounts Receivable,,,
email: someone@somename.com,,,,Address,,,
,,,,"City, State, ZIP",,,
THANK YOU FOR YOUR BUSINESS!,,,,,,,
,,,,,,,
,,,,,,,
"© Copyright, 2014, Jaxworks, All Rights Reserved.",,,,,,,
