COMMERCIAL INVOICE/PACKING LIST,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Name & Address of Shipper,,,,,Consignee:,,,,,,,,,,Page of,
,"Siam Décor Co.,Ltd",,,,,,,,,,Stand:,,License:,,,,
,24 Phaholyothin 24(2-1-2) Jompol,,,,,,,,,,,,Shipper's EIN#:,,,,
,Jatujak Bangkok 10900 Thailand,,,,,,,,,,,,Total Pieces:,,,,
,Tel: 662-930-2475 Fax: 662-939-7859,,,,,,,,,,,,Total Weight:,,,,kilos
I,,,,,,,,,,,,,Target date:,,,,
,,,,,,,,,,,,,,,,,
,Case #,Item #,Quantity,Harmonized Classification Code,Description of Contents,,Net Weight (Kg),Weight (Kgs),Dims (cms) L x W x H,,,CBM,Temp Import,Give Away,Permanent,Value per Item ($),Total Value ($)
,,1,22,Chair type A1A2,Coffee Area Chair /Rubber wood,,,,,,,,,,,$224.00,"$4,928.00"
,,2,18,Chair type B1B2,Central Area Chair/Rubber wood,,,,,,,,,,,$138.00,"$2,484.00"
,,3,14,Chair type C1C2,Central Area Chair/Rubber wood,,,,,,,,,,,$138.00,"$1,932.00"
,,4,13,Bench type D,Central Area Bench/Rubber wood,,,,,,,,,,,$276.00,"$3,588.00"
,,5,6,Table type J,Central Area Table/Rubber wood,,,,140,80,75,0.84,,,,$345.00,"$2,070.00"
,,6,5,Table type G F,Central&Coffee Table,,,,,,,,,,,$293.00,"$1,465.00"
,,7,10,Table type E,Central&Coffee Table,,,,,,,,,,,$241.00,"$2,410.00"
,,8,13,Table type H I,Central&Coffee Table,,,,,,,,,,,$293.00,"$3,809.00"
,,9,25,Light type A,Coffee Area and Corridor Lighting,,,,,,,,,,,$117.00,"$2,925.00"
,,10,25,Light type B,Bench Area Lighting,,,,,,,,,,,$130.00,"$3,250.00"
,,11,11,Light type C,Central Area Lighting,,,,,,,,,,,$326.00,"$3,586.00"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TOTAL VALUE:,,"$32,447.00"
,,,,,,,,,,,,,,,Authorized Signature:,,
,,,,,,,,,,,,,,,Name:,,
,,,,,,,,,,,,,,,Date:,,
