Account,Name,Description
331308,NICK YOUR STAY PROMO,Room revenue for nickelodeon merchandise
361009,UNASSIGNED ROOM REVENUE,GPMS Room Revenue Suspense
361011,RATE ADJUSTMENT,Rate adjustment - Rooms Business Transient
361011,TRANSIENT SALES,Room revenue for business related travel
361011,TRANSIENT SALES,Room revenue for pleasure related travel
361011,RATE ADJUSTMENT,Rate adjustment - Rooms Business Transient
361051,PENTHOUSE -LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361052,STUDIO - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361053,PENTHOUSE TRANSIENT - LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361054,STUDIO TRANSIENT - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361055,PENTHOUSE - LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361056,STUDIO - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361061,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361062,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361063,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361064,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361065,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361066,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361071,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361072,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361073,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361074,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361075,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361076,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361081,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361082,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361083,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361084,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361085,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361086,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361203,PART DAY REV,Room revenue for Part Day Room Charges
361203,PART DAY REV,Room rebate for Part Day Room Charges
361204,GUARANTEED NO SHOW,Room revenue for Guaranteed No Show guests
361318,ROOM CHARGE-LEASE/CONTR,Room revenue for contract business.
361318,SPEC CORP SUN-THUR,"Room revenue for special promotions (holiday rate, etc.)"
361334,ROOM CHARGE-GROUPS,Room revenue for Group related room charges.
361522,COMP NIGHT VOUCHER REVPAR ADJ,Comp Night Voucher Revpar Adjustments (Salt Lake City entry only)
361902,MR REIMBURSEMENTS,Reimbursements for Marriott Rewards Activity (CORPORATE USE ONLY)
361903,PACKAGE REBATES,"Room rebate for Promotional Discounts ($10 Off, etc.)"
361904,GUARANTEED NO SHOW REBATE,Room rebate for Guaranteed No Show
361905,PROMOTIONAL REBATE,Room rebate for Marriott Rewards Certificate
361908,MR ANYTIME REIMBURSEMENT,Reimbursements for Marriott Rewards Anytime Activity (CORPORATE USE ONLY)
361909,MR OCCUPANCY PREMIUM,Marriott Rewards incremental reimbursement amount received by the hotel over the blended rate on nights when occupancy thresholds are met.
361945,GROUP REBATE,Room rebate for Group Sales
361951,TRANSIENT REBATE,Room rebate for Business Transient
361951,TRANSIENT REBATE,Room rebate for Escape Package
361951,TRANSIENT REBATE,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361951,TRANSIENT REBATE,Room rebate for Pleasure Transient
361951,TRANSIENT REBATE,"Room rebate for special promotions (holiday rate, etc.)"
361952,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361953,PENTHOUSE LONG TERM ADJ,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361954,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361955,PENTHOUSE LONG TERM ADJ,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361956,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361961,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid Term (12-29) / (Tier 3)
361962,STUDIO MID TERM ADJ,Room rebate for Studio Mid Term (12-29) / (Tier 3)
361963,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid Term (12-29) / (Tier 3)
361964,STUDIO MID TERM ADJ,Room rebate for Studio Mid Term (12-29) / (Tier 3)
