Account,Name,Description1,Description2,PL
601108,993.77,NovA COMP CONTINENTAL BREAKFAS,,ROOMS - Comp F&B
248002,-993.77,NovA COMP CONTINENTAL BREAKFAS,,November Accrual Entry
610201,145.52,NovA GUEST SUPPLIES,,ROOMS - Guest Supplies
248002,-145.52,NovA GUEST SUPPLIES,,November Accrual Entry
610107,57.93,NovA LAUNDRY SUPPLIES,,ROOMS - Laundry
248002,-57.93,NovA LAUNDRY SUPPLIES,,November Accrual Entry
631206,"2,579.89",NovA MC - OTHER MAINTENANCE CO,,REPAIRS AND MAINTENANCE - R&M Contracts
248002,"-2,579.89",NovA MC - OTHER MAINTENANCE CO,,November Accrual Entry
634105,"1,537.49",NovA GROUNDS & MAINTENANCE,,REPAIRS AND MAINTENANCE - R&M Contracts
248002,"-1,537.49",NovA GROUNDS & MAINTENANCE,,November Accrual Entry
618010,733.34,NovA LOCAL CALL COST,,Info/Telecom Systems - Other
248002,-733.34,NovA LOCAL CALL COST,,November Accrual Entry
664501,419.48,NovA Information Technology Su,,Info/Telecom Systems - Other
248002,-419.48,NovA Information Technology Su,,November Accrual Entry
618115,426.51,NovA COMPLIMENTARY INTERNET EX,,Info/Telecom Systems - Other
248002,-426.51,NovA COMPLIMENTARY INTERNET EX,,November Accrual Entry
610105,"1,197.24",NovA LINEN,,ROOMS - Linen
248002,"-1,197.24",NovA LINEN,,November Accrual Entry
414001,187.4,NovA Masada,Masada,F&B - Food Cost
248002,-187.4,NovA Masada,Masada,November Accrual Entry
414001,140.65,NovA Masada,Masada,F&B - Food Cost
248002,-140.65,NovA Masada,Masada,November Accrual Entry
610415,"3,274.87",NovA world cinema,world cinema,ROOMS - FTG IN-ROOM SERVICES
248002,"-3,274.87",NovA world cinema,world cinema,November Accrual Entry
618010,144.21,NovA LOCAL CALL COST,,Info/Telecom Systems - Other
248002,-144.21,NovA LOCAL CALL COST,,November Accrual Entry
618115,"1,191.88",NovA COMPLIMENTARY INTERNET EX,,Info/Telecom Systems - Other
248002,"-1,191.88",NovA COMPLIMENTARY INTERNET EX,,November Accrual Entry
652101,"1,500.00",NovA Red Zeb Inter Train,Red Zeb Inter Train,G&A - Training
248002,"-1,500.00",NovA Red Zeb Inter Train,Red Zeb Inter Train,November Accrual Entry
608203,"4,671.80",NovA CEP AMERICA Med Amer,CEP AMERICA Med Amer,ROOMS - TA Commission
248002,"-4,671.80",NovA CEP AMERICA Med Amer,CEP AMERICA Med Amer,November Accrual Entry
608203,195.3,NovA GAP BR LANYON,GAP BR LANYON,ROOMS - TA Commission
248002,-195.3,NovA GAP BR LANYON,GAP BR LANYON,November Accrual Entry
608203,"1,890.60",NovA Productions Plus,Productions Plus,ROOMS - TA Commission
248002,"-1,890.60",NovA Productions Plus,Productions Plus,November Accrual Entry
608203,604.2,NovA CORP TRAVEL PLANNER,CORP TRAVEL PLANNER,ROOMS - TA Commission
248002,-604.2,NovA CORP TRAVEL PLANNER,CORP TRAVEL PLANNER,November Accrual Entry
608203,"10,688.13",NovA Amer Pediatrics,Amer Pediatrics,ROOMS - TA Commission
248002,"-10,688.13",NovA Amer Pediatrics,Amer Pediatrics,November Accrual Entry
608203,687.5,NovA World Dimension,World Dimension,ROOMS - TA Commission
248002,-687.5,NovA World Dimension,World Dimension,November Accrual Entry
608203,0,NovA GROUP TRAVEL AGENT COMM,,ROOMS - TA Commission
